순번,구분,총톤수,길이,너비,깊이,선질,용도,세부용도,선적항
11526,어선,4.99 ,10.30 ,3.28 ,0.80 ,FRP,정치성구획어업,어선(각망어업),충남 서천군 서면
11527,어선,1.30 ,7.08 ,1.99 ,0.77 ,FRP,연안복합어업,어선(연안복합어업),전북 군산시 옥도면
11528,어선,2.11 ,7.65 ,2.25 ,0.89 ,FRP,연안자망어업,어선(연안자망어업),경기 시흥시
11529,어선,4.15 ,9.80 ,3.15 ,0.70 ,FRP,연안복합어업,어선(연안복합어업),전남 고흥군 동일면
11530,어선,4.15 ,9.80 ,3.15 ,0.70 ,FRP,연안복합어업,어선(연안복합어업),전남 고흥군 동일면
11531,어선,2.98 ,8.72 ,2.40 ,0.74 ,FRP,연안복합어업,어선(연안복합어업),전남 여수시
11532,어선,2.98 ,8.92 ,2.58 ,0.71 ,FRP,연안자망어업,어선(연안자망어업),경북 경주시 양남면
11533,어선,4.97 ,10.67 ,3.04 ,0.84 ,FRP,연안복합어업,어선(연안복합어업),충남 보령시 오천면
11534,어선,3.28 ,9.35 ,2.60 ,0.86 ,FRP,연안복합어업,어선(연안복합어업),경남 고성군 하일면
11535,어선,1.35 ,6.66 ,2.11 ,0.84 ,FRP,어장관리선,어선(어장관리선),전남 진도군 조도면
11536,어선,5.00 ,10.55 ,2.95 ,0.88 ,FRP,연안자망어업,어선(연안자망어업),충남 태안군 원북면
11537,어선,4.81 ,10.03 ,2.71 ,0.88 ,FRP,연안복합어업,어선(연안복합어업),전북 부안군 변산면
11538,어선,1.02 ,6.30 ,1.84 ,0.76 ,FRP,어선,어선(어선),부산시 사하구
11539,어선,3.65 ,9.45 ,2.77 ,0.69 ,FRP,연안자망어업,어선(연안자망어업),경남 사천시
11540,어선,1.84 ,7.56 ,2.12 ,0.83 ,FRP,연안복합어업,어선(연안복합어업),경남 거제시 하청면
11541,어선,77.00 ,27.12 ,6.03 ,2.68 ,FRP,근해통발어업,어선(근해장어통발어업),경남 통영시
11542,어선,1.34 ,6.30 ,2.04 ,0.80 ,FRP,연안통발어업,어선(연안통발어업),경남 사천시
11543,어선,1.30 ,6.44 ,1.99 ,0.75 ,FRP,연안복합어업,어선(연안복합어업),울산시 울주군 서생면
11544,어선,32.00 ,18.54 ,4.80 ,2.25 ,알루미늄합금,기타어업,어선(시험 및 교습선),경남 통영시 산양읍
11545,어선,3.00 ,9.37 ,2.50 ,0.83 ,FRP,연안자망어업,어선(연안자망어업),울산시 북구
11546,어선,0.72 ,5.45 ,1.73 ,0.68 ,FRP,연안복합어업,어선(연안복합어업),경남 하동군 금남면
11547,어선,4.21 ,9.34 ,2.80 ,0.88 ,FRP,연안복합어업,어선(연안복합어업),부산시 사하구
11548,어선,2.95 ,7.31 ,3.40 ,0.88 ,FRP,해조류양식어업,어선(해조류양식어업),인천시 옹진군 영흥면
11549,어선,2.20 ,8.00 ,2.27 ,0.72 ,FRP,어장관리선,어선(어장관리선),경남 통영시 도산면
11550,어선,1.28 ,7.92 ,2.05 ,0.68 ,FRP,어장관리선,어선(어장관리선),경남 통영시
11551,어선,1.98 ,7.50 ,2.28 ,0.75 ,FRP,패류양식어업,어선(패류양식어업),경남 통영시 도산면
11552,어선,4.97 ,10.94 ,4.35 ,0.68 ,FRP,패류양식어업,어선(패류양식어업),제주시 구좌읍
11553,어선,4.99 ,9.80 ,3.38 ,0.90 ,FRP,연안복합어업,어선(연안복합어업),전남 여수시 화양면
11554,어선,5.10 ,9.80 ,3.16 ,1.03 ,FRP,연안복합어업,어선(연안복합어업),충남 태안군 원북면
11555,어선,4.09 ,9.50 ,2.90 ,0.84 ,FRP,연안통발어업,어선(연안통발어업),경남 남해군 미조면
11556,어선,0.64 ,5.31 ,1.70 ,0.67 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시
11557,어선,1.10 ,7.44 ,1.92 ,0.59 ,FRP,어장관리선,어선(어장관리선),전남 고흥군 도화면
11558,어선,1.99 ,8.22 ,2.43 ,0.65 ,FRP,연안자망어업,어선(연안자망어업),부산시 기장군
11559,어선,7.93 ,13.13 ,3.56 ,1.02 ,FRP,연안통발어업,어선(연안통발어업),울산시 북구
11560,어선,16.00 ,17.20 ,4.96 ,1.25 ,FRP,정치망어업,어선(정치망어업),경북 포항시 구룡포읍
11561,어선,40.00 ,23.57 ,5.45 ,1.86 ,FRP,근해유자망어업,어선(근해자망어업),전남 목포시
11562,어선,2.35 ,7.08 ,2.20 ,0.96 ,FRP,연안복합어업,어선(연안복합어업),전남 여수시
11563,어선,99.00 ,35.74 ,6.50 ,2.75 ,강,기선선인망어업,어선(기선권현망어업),전남 여수시
11564,어선,9.77 ,14.50 ,3.76 ,1.05 ,FRP,연안복합어업,어선(연안복합어업),인천시 남동구
11565,어선,9.77 ,14.50 ,3.76 ,1.05 ,FRP,연안복합어업,어선(연안복합어업),인천시 남동구
11566,어선,9.77 ,14.50 ,3.76 ,1.05 ,FRP,연안복합어업,어선(연안복합어업),인천시 남동구
11567,어선,1.29 ,7.07 ,2.09 ,0.74 ,FRP,제1종양식어업,어선(패류양식어업),전북 부안군 변산면
11568,어선,71.00 ,28.97 ,6.00 ,2.23 ,FRP,근해채낚기어업,어선(근해채낚기어업),경북 경주시 감포읍
11569,어선,9.77 ,15.42 ,3.80 ,1.06 ,FRP,연안선망어업,어선(연안선망어업),경북 포항시 구룡포읍
11570,어선,1.67 ,6.71 ,2.03 ,0.85 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시 산양읍
11571,어선,1.35 ,6.59 ,2.02 ,0.75 ,FRP,연안복합어업,어선(연안복합어업),전남 광양시 진월면
11572,어선,1.55 ,6.39 ,1.99 ,0.84 ,FRP,복합양식어업,어선(복합양식어업),전남 완도군 완도읍
11573,어선,5.97 ,10.80 ,3.25 ,0.92 ,FRP,연안통발어업,어선(연안통발어업),경남 통영시 욕지면
11574,어선,1.99 ,7.26 ,2.15 ,0.87 ,FRP,연안복합어업,어선(연안복합어업),강원 동해시
11575,어선,23.00 ,17.85 ,4.38 ,1.65 ,FRP,어획물운반선,어선(어획물운반선),충청남도 보령시
11576,어선,77.00 ,29.79 ,5.80 ,2.37 ,FRP,근해채낚기어업,어선(근해채낚기어업),경북 포항시
11577,어선,1.54 ,7.09 ,2.11 ,0.87 ,FRP,해조류양식어업,어선(해조류양식어업),부산시 강서구
11578,어선,6.67 ,12.50 ,3.30 ,0.96 ,FRP,연안자망어업,어선(연안자망어업),강원 양양군 손양면
11579,어선,6.67 ,12.50 ,3.30 ,0.96 ,FRP,연안자망어업,어선(연안자망어업),강원 양양군 손양면
11580,어선,2.17 ,8.28 ,2.68 ,0.79 ,FRP,해조류양식어업,어선(해조류양식어업),충남 태안군 근흥면
11581,어선,3.59 ,9.55 ,2.50 ,0.80 ,FRP,연안복합어업,어선(연안복합어업),경남 거제시 사등면
11582,어선,6.50 ,11.10 ,3.14 ,1.03 ,FRP,연안통발어업,어선(연안통발어업),충남 태안군 남면
11583,어선,6.50 ,11.10 ,3.14 ,1.03 ,FRP,연안통발어업,어선(연안통발어업),충남 태안군 남면
11584,어선,6.67 ,11.10 ,3.20 ,0.91 ,FRP,연안자망어업,어선(연안자망어업),충남 보령시 오천면
11585,어선,3.00 ,8.23 ,2.46 ,0.69 ,FRP,연안복합어업,어선(연안복합어업),서귀포시
11586,어선,3.00 ,8.23 ,2.46 ,0.69 ,FRP,연안복합어업,어선(연안복합어업),서귀포시
11587,어선,0.54 ,6.44 ,1.50 ,0.52 ,FRP,연안자망어업,어선(연안자망어업),충남 태안군 안면읍
11588,어선,4.97 ,10.49 ,2.96 ,0.81 ,FRP,연안복합어업,어선(연안복합어업),서귀포시
11589,어선,5.50 ,10.90 ,3.67 ,0.75 ,FRP,정치성구획어업,어선(장망류어업),전남 진도군 조도면
11590,어선,45.00 ,26.78 ,5.87 ,1.58 ,FRP,근해안강망어업,어선(근해안강망어업),전남 목포시
11591,어선,4.99 ,11.00 ,3.64 ,0.74 ,FRP,연안복합어업,어선(연안복합어업),전남 여수시 삼산면
11592,어선,4.99 ,11.00 ,3.64 ,0.74 ,FRP,연안복합어업,어선(연안복합어업),전남 여수시 삼산면
11593,어선,6.67 ,11.57 ,4.41 ,0.72 ,FRP,어장관리선,어선(어장관리선),전남 완도군 완도읍
11594,어선,9.77 ,16.75 ,4.50 ,0.79 ,FRP,연안안강망어업,어선(연안개량안강망어업),전남 신안군
11595,어선,9.77 ,16.75 ,4.50 ,0.79 ,FRP,연안안강망어업,어선(연안개량안강망어업),전남 신안군
11596,어선,4.46 ,9.62 ,2.80 ,0.88 ,FRP,연안통발어업,어선(연안통발어업),경남 통영시 한산면
11597,어선,9.77 ,16.45 ,3.98 ,0.96 ,FRP,연안자망어업,어선(연안자망어업),경기 화성시 송산면
11598,어선,45.00 ,26.55 ,5.60 ,1.60 ,FRP,근해채낚기어업,어선(근해채낚기어업),경북 울진군 후포면
11599,어선,5.43 ,11.70 ,3.68 ,0.76 ,FRP,연안안강망어업,어선(연안안강망어업),인천시 중구
11600,어선,5.43 ,11.70 ,3.68 ,0.76 ,FRP,연안안강망어업,어선(연안안강망어업),인천시 중구
11601,어선,9.77 ,16.50 ,4.50 ,0.81 ,FRP,연안안강망어업,어선(연안개량안강망어업),전북 군산시 옥도면
